"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Cer-1-P","2293","332","23","12.137","0.79153","0.87597","0.07161","57","0.57","1","1","1","P93","EC000801;EC000802;EC000805;EC000815;EC000816;EC000817;EC000818;EC000833;EC000831;EC000832"
"C10 isoprenoids","81","23","10","4.0456","0.79666","0.93208","0.073523","39","0.39","1","1","1","P94","EC0002;EC000411;EC000451"
"Macrolides","30","5","1","1.4905","0.80914","1","0.078463","34","0.34","1","1","1","P95","EC0001206"
"O-PC","1044","118","12","7.8782","0.82266","0.91476","0.084349","71","0.71","1","1","1","P96","EC000805;EC000817;EC000818;EC000815;EC000831;EC000832"
"LPG","62","11","2","2.9809","0.82771","0.96348","0.086703","69","0.69","1","1","1","P97","EC0001252;EC0001255"
"TAG","27062","144","9","4.4714","0.85066","0.95406","0.098668","83","0.83","1","1","1","P98","EC0001866;EC0001868;EC0001878"
"O-PE","1095","134","16","9.5816","0.86605","0.93479","0.10809","83","0.83","1","1","1","P99","EC0001232;EC0001234;EC0001381;EC0001238;EC000816;EC0001244;EC0001245"
"C15 isoprenoids","94","23","4","5.9619","0.87131","0.95315","0.11162","81","0.81","1","1","1","P100","EC000900;EC00054;EC0001144;EC0001420"
"O-PS","984","83","4","3.4068","0.88081","0.97729","0.11846","59","0.59","1","1","1","P101","EC0001317;EC0001318"
"PA","1951","297","54","15.969","0.89493","0.94028","0.12991","75","0.75","1","1","1","P102","EC0001452;EC0001043;EC0001531;EC0001509;EC0001455;EC0001528;EC0001532;EC0001546;EC0001547;EC0001549;EC0001550;EC0001553"
"EpODEs","10","10","2","2.1292","0.90634","1","0.14054","97","0.97","1","1","1","P103","EC000209"
"O-PG","964","71","5","3.8326","0.91843","0.98589","0.1535","87","0.87","1","1","1","P104","EC0001252;EC0001731"
"Stigmasterols","9","6","3","2.3422","0.92615","1","0.16292","80","0.8","1","1","1","P105","EC000455"
"Leukotrienes","24","15","5","2.3422","0.92615","1","0.16292","85","0.85","1","1","1","P106","EC000179"
"HETE","60","59","24","2.3422","0.92615","1","0.16292","77","0.77","1","1","1","P107","EC000179"
"O-LPG","14","6","1","2.5551","0.94177","1","0.18566","94","0.94","1","1","1","P108","EC0001264"
"PI-Cer","2290","95","4","2.768","0.9541","1","0.20853","73","0.73","1","1","1","P109","EC0001751"
"MGDG","1732","108","21","6.3877","0.9676","0.99267","0.24188","80","0.8","1","1","1","P110","EC0001441;EC0001452;EC0001455"
"PG","1947","95","10","5.7489","0.98654","0.99835","0.32288","94","0.94","1","1","1","P111","EC0001706;EC0001719"
"O-DAG","1273","174","11","8.7299","0.99593","0.99931","0.42237","99","0.99","1","1","1","P112","EC000975;EC000980;EC000986"
"DAG","1839","249","17","15.118","0.99895","0.99973","0.51887","99","0.99","1","1","1","P113","EC000926;EC000142;EC000946;EC000947;EC000948;EC000232"
"PE-Cer","2291","398","23","14.053","0.99985","0.99998","0.63172","99","0.99","1","1","1","P114","EC0001659;EC0001669;EC0001677;EC0001452"
"SM","2315","235","12","10.433","0.99988","0.99999","0.64306","98","0.98","1","1","1","P115","EC0001659;EC0001452"
"PhytoCer","805","136","2","8.5169","0.99993","1","0.666","100","1","1","1","1","P116","EC000785"
"Cer","1612","243","1","11.498","0.99996","1","0.69343","100","1","1","1","1","P117","EC000777;EC000778"
