Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
315.19171,"(2'E,4'Z,7'Z,8E)-Colnelenic acid",M+Na[1+],8.5911,0.00141122876999589,EC00018
277.2149,"(2'E,4'Z,8E)-Colneleic acid",M-H2O+H[1+],6.836,0.00127129277001359,EC00021
277.21492,"(2'E,4'Z,8E)-Colneleic acid",M-H2O+H[1+],8.1483,0.00125129277000724,EC00022
277.21496,"(2'E,4'Z,8E)-Colneleic acid",M-H2O+H[1+],8.4827,0.00121129276999454,EC00022
277.21503,"(2'E,4'Z,8E)-Colneleic acid",M-H2O+H[1+],9.8663,0.00114129277000075,EC00023
295.22431,"(2'E,4'Z,8E)-Colneleic acid",M+H[1+],8.3224,0.00246129277002183,EC00022
295.22537,"(2'E,4'Z,8E)-Colneleic acid",M+H[1+],8.7672,0.00140129277002643,EC00024
295.22542,"(2'E,4'Z,8E)-Colneleic acid",M+H[1+],7.6356,0.00135129277003898,EC00022
295.22544,"(2'E,4'Z,8E)-Colneleic acid",M+H[1+],8.4872,0.00133129277003263,EC00022
295.2255,"(2'E,4'Z,8E)-Colneleic acid",M+H[1+],7.8391,0.00127129277001359,EC00022
295.22552,"(2'E,4'Z,8E)-Colneleic acid",M+H[1+],6.8318,0.00125129277000724,EC00021
313.23581,"(2'E,4'Z,8E)-Colneleic acid",M+H2O+H[1+],7.8792,0.00156129277002037,EC00022
313.23594,"(2'E,4'Z,8E)-Colneleic acid",M+H2O+H[1+],7.6796,0.00143129277000753,EC00022
317.20732,"(2'E,4'Z,8E)-Colneleic acid",M+Na[1+],8.3737,0.00145129277007072,EC00022
317.20734,"(2'E,4'Z,8E)-Colneleic acid",M+Na[1+],8.4878,0.00143129277006437,EC00022
317.20738,"(2'E,4'Z,8E)-Colneleic acid",M+Na[1+],8.7672,0.00139129277005168,EC00024
317.20748,"(2'E,4'Z,8E)-Colneleic acid",M+Na[1+],8.1501,0.00129129277007678,EC00022
317.21053,"(2'E,4'Z,8E)-Colneleic acid",M+Na[1+],8.0013,0.00175870722995342,EC00022
333.18188,"(2'E,4'Z,8E)-Colneleic acid",M+K[1+],8.4888,0.000391292770018481,EC00022
419.35044,"(20R,22R)-20,22-Dihydroxycholesterol",M+H[1+],10.1958,0.00153246677001562,EC00025
419.35048,"(20R,22R)-20,22-Dihydroxycholesterol",M+H[1+],9.9391,0.00149246677000292,EC00026
419.3505,"(20R,22R)-20,22-Dihydroxycholesterol",M+H[1+],9.5957,0.00147246676999657,EC00026
420.35362,"(20R,22R)-20,22-Dihydroxycholesterol",M(C13)+H[1+],9.7835,0.0017524667700286,EC00026
420.35386,"(20R,22R)-20,22-Dihydroxycholesterol",M(C13)+H[1+],10.1922,0.00151246677000927,EC00025
420.35389,"(20R,22R)-20,22-Dihydroxycholesterol",M(C13)+H[1+],10.2477,0.00148246677002817,EC00025
420.35391,"(20R,22R)-20,22-Dihydroxycholesterol",M(C13)+H[1+],9.9353,0.00146246677002182,EC00026
441.33272,"(20R,22R)-20,22-Dihydroxycholesterol",M+Na[1+],9.601,0.00125246676998358,EC00026
441.33473,"(20R,22R)-20,22-Dihydroxycholesterol",M+Na[1+],10.9504,0.000757533230000718,EC00027
507.40601,(20R)-24-Hydroxy-19-norgeminivitamin D3,M+H[1+],9.3741,0.00163353322994908,EC00028
508.40787,(20R)-24-Hydroxy-19-norgeminivitamin D3,M(C13)+H[1+],9.3747,9.35332299718539e-05,EC00028
529.38842,(20R)-24-Hydroxy-19-norgeminivitamin D3,M+Na[1+],5.5978,0.00204353322999395,EC00029
415.3188,"(20S)-1alpha,20,25-Trihydroxyvitamin D3",M-H2O+H[1+],8.7988,0.00187646676999975,EC00030
455.3158,"(20S)-1alpha,20,25-Trihydroxyvitamin D3",M+Na[1+],9.8036,0.00252353322997578,EC00031
421.30866,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M-H4O2+H[1+],9.737,0.00141646677002427,EC00032
421.30877,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M-H4O2+H[1+],10.5596,0.00130646677001778,EC00032
421.30936,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M-H4O2+H[1+],9.1985,0.000716466769972612,EC00032
439.31895,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M-H2O+H[1+],9.2048,0.0017264667700374,EC00032
439.31898,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M-H2O+H[1+],9.9378,0.00169646676999946,EC00032
439.31911,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M-H2O+H[1+],10.5401,0.00156646676998662,EC00032
439.31915,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M-H2O+H[1+],10.3561,0.00152646677003077,EC00032
439.31916,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M-H2O+H[1+],9.7351,0.00151646676999917,EC00032
457.3297,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M+H[1+],10.458,0.00157646677001821,EC00032
457.32982,"(22R)-1alpha,22,25-Trihydroxy-23,24-tetradehydro-24a,24b-dihomo-20-epivitamin D3",M+H[1+],10.7078,0.00145646677003697,EC00032
