Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
201.01492,C00141,M+HCOOK[1+],0.7324,0.00095646677002037,EC00023
346.05332,C00144,M-H2O+H[1+],0.9572,0.00135646677000523,EC00024
386.04363,C00144,M+Na[1+],4.7698,0.00364646676996472,EC00025
136.06075,C00147,M+H[1+],1.1146,0.00102646676998575,EC00026
136.0608,C00147,M+H[1+],0.8554,0.000976466769998297,EC00027
116.06968,C00148,M+H[1+],0.7753,0.000896466769987114,EC00028
138.05389,C00148,M+Na[1+],0.8215,0.00131353322998962,EC00028
123.05431,C00153,M+H[1+],1.0098,0.000966466769995122,EC00029
163.05936,C00159,M-H2O+H[1+],0.7702,0.000716466770001034,EC0003
163.05949,C00159,M-H2O+H[1+],6.3524,0.000586466769988192,EC0004
163.05952,C00159,M-H2O+H[1+],6.1637,0.000556466770007091,EC0004
203.0516,C00159,M+Na[1+],0.5212,0.00107646677000162,EC0003
219.02552,C00159,M+K[1+],0.7397,0.000656466770010411,EC0003
165.05352,C00166,M+H[1+],7.0768,0.00105646677002369,EC00030
165.05361,C00166,M+H[1+],7.7817,0.000966466770023544,EC00031
298.09561,C00170,M+H[1+],3.229,0.00126646677000508,EC00032
127.0493,C00178,M+H[1+],1.186,0.000876466769994977,EC00033
118.08535,C00183,M+H[1+],0.7962,0.000926466769982426,EC00034
118.08542,C00183,M+H[1+],1.2533,0.000856466769988629,EC00035
268.10283,C00212,M+H[1+],1.0277,0.00124646676999873,EC00036
268.10286,C00212,M+H[1+],1.1266,0.00121646676996079,EC00036
306.05837,C00212,M+K[1+],1.1074,0.00120646676992919,EC00036
327.2264,C00219,M+Na[1+],7.5918,0.00307646677003959,EC00037
327.22729,C00219,M+Na[1+],7.9418,0.00218646677006973,EC00038
327.23015,C00219,M+Na[1+],9.9182,0.00067353322992858,EC00039
163.05936,C00221,M-H2O+H[1+],0.7702,0.000716466770001034,EC0003
163.05949,C00221,M-H2O+H[1+],6.3524,0.000586466769988192,EC0004
163.05952,C00221,M-H2O+H[1+],6.1637,0.000556466770007091,EC0004
203.0516,C00221,M+Na[1+],0.5212,0.00107646677000162,EC0003
219.02552,C00221,M+K[1+],0.7397,0.000656466770010411,EC0003
247.01376,C00235,M+H[1+],0.6185,0.000683533229988598,EC00022
248.01501,C00235,M(C13)+H[1+],0.6148,0.00146646677001172,EC00022
249.01201,C00235,M(Cl37)+H[1+],0.616,0.00173353323000924,EC00022
135.03132,C00242,M-NH3+H[1+],0.6099,0.0011435332299925,EC00040
152.05568,C00242,M+H[1+],0.8773,0.000996466770004645,EC00040
152.05573,C00242,M+H[1+],1.1709,0.000946466769988774,EC00041
190.01172,C00242,M+K[1+],0.8036,0.000456466770003772,EC00040
239.23586,C00249,M-H2O+H[1+],9.3754,0.00101646677001099,EC00042
279.22878,C00249,M+Na[1+],8.1677,0.000696466770079951,EC00043
279.23053,C00249,M+Na[1+],9.8743,0.00105353322993551,EC00044
279.23057,C00249,M+Na[1+],8.5388,0.00109353322994821,EC00043
279.2306,C00249,M+Na[1+],8.7114,0.00112353322992931,EC00043
279.23061,C00249,M+Na[1+],7.8605,0.0011335332299609,EC00045
279.23063,C00249,M+Na[1+],8.3767,0.00115353322996725,EC00043
279.23067,C00249,M+Na[1+],9.487,0.0011935332299231,EC00042
279.23074,C00249,M+Na[1+],9.3028,0.00126353322997375,EC00042
279.23096,C00249,M+Na[1+],9.7382,0.00148353322992989,EC00044
325.23366,C00249,M+HCOONa[1+],8.8937,0.00121646677001763,EC00043
365.10374,C00252,M+Na[1+],0.9283,0.00173646677001216,EC00017
381.07789,C00252,M+K[1+],0.7446,0.00108646676994795,EC00017
124.03838,C00253,M+H[1+],0.9702,0.000896466769987114,EC00046
137.04484,C00262,M+H[1+],0.9517,0.000936466770014022,EC00047
163.05936,C00267,M-H2O+H[1+],0.7702,0.000716466770001034,EC0003
163.05949,C00267,M-H2O+H[1+],6.3524,0.000586466769988192,EC0004
163.05952,C00267,M-H2O+H[1+],6.1637,0.000556466770007091,EC0004
203.0516,C00267,M+Na[1+],0.5212,0.00107646677000162,EC0003
219.02552,C00267,M+K[1+],0.7397,0.000656466770010411,EC0003
