id,mz,rt,log2FC,t.score,p.value
391,132.10106,1.0714,-0.7784134386742867,193.8181680109178,5.253736318502241e-09
466,166.08535,1.5172,-0.8577642030414783,169.7307861075075,7.277476192310757e-09
568,259.11393,3.0151,-8.1942417762302,187.69969699208391,1.1135114516759197e-08
569,206.02255,3.0287,-1.0471676433582644,210.47402555917455,2.8248721414578838e-08
250,104.10279,0.7513,-0.6774380446222636,121.65771709794265,3.54966762365377e-08
578,259.114,3.53,-2.444194529937337,111.66975071338202,4.023089323558479e-08
664,360.20772,4.484,-6.13859551167263,111.51538546347273,6.931009069055085e-08
553,323.15884,2.5876,-0.98793386251538,87.68744527831981,1.0150404709373234e-07
455,291.08522,1.3816,-7.5660313925953195,112.32223990686583,1.0315263939539021e-07
397,332.1092,1.0954,-4.32484114765718,139.16618621726238,1.0971980853371911e-07
270,266.12221,0.7697,-0.8053038242747377,163.38975245570438,1.3287537685606046e-07
454,215.13798,1.3876,-1.8097736975724734,79.41564248375165,1.6108738780135754e-07
266,236.11161,0.7673,-0.9287766566363036,112.51564832375139,1.718276010681239e-07
514,183.11172,2.0948,-0.7708065087235703,106.51327879547517,1.8897912388532343e-07
2445,536.37795,9.2148,-0.9662747710954704,73.67163188961923,2.0623683630999713e-07
496,242.09876,1.827,-1.0425911234781609,75.00070811135932,2.603222020254912e-07
811,169.05972,5.3335,-1.312827606593756,96.50038270305787,3.100995173226991e-07
644,263.1377,4.3272,-1.3873268351225736,127.40184416865215,4.2309354489133346e-07
468,167.08849,1.5208,-1.0340637690470693,80.32335037678268,5.087648175234042e-07
32,214.98767,0.616,-0.4760850233642877,60.48380018528929,5.636183218967864e-07
559,293.14832,2.775,-1.5733159097263965,66.14876159220582,5.960405077243552e-07
287,136.0608,0.8554,-1.1143825598321921,57.68895154422646,6.202548277713005e-07
538,367.14857,2.324,-1.21821788087869,91.20727340385704,7.437691412078152e-07
2755,247.24084,9.5441,-0.9355389536149596,51.73041687211872,8.360096763468131e-07
408,276.14268,1.1526,-1.3452250183869143,74.79251195627022,8.488785768385407e-07
36,133.03375,0.6172,-0.4977143838700684,66.6084022789693,9.372933788398997e-07
298,241.15351,0.7969,-0.6885749849310061,50.839706900312535,9.481015873714079e-07
2323,454.29117,9.078,-1.8939717720520477,52.37837054502483,9.940551740244375e-07
1571,298.27281,7.4391,-1.0640046598341115,48.462602338189754,1.1280484110997953e-06
456,275.10894,1.415,-2.8869062579780564,268.88316313937133,1.1339818816304582e-06
528,206.09854,2.2085,-0.8400299421611592,52.442902697426824,1.1428353334123842e-06
34,101.00748,0.6166,-0.5266285534261783,49.14843758094799,1.1481523284467196e-06
794,238.10619,5.2358,-1.1472784294067369,49.33824255324918,1.1785826963866152e-06
2227,518.3225,8.9734,-1.645529053035938,73.23928551641103,1.1912010230230195e-06
526,205.09514,2.2058,-0.8647734331480539,85.77288296433868,1.311401771263074e-06
260,705.18286,0.7606,-1.0652925842791845,85.71460881331244,1.6770359168972155e-06
3485,423.32424,10.9529,-1.3020329164836433,44.168242477801364,2.015289696459542e-06
70,251.15901,0.6216,-0.8651893138166038,43.30325076503075,2.0882996741775308e-06
1717,315.25185,7.8792,-6.043010144135016,41.638449629729706,2.150446189612271e-06
1569,280.26225,7.4384,-1.1406798681324375,40.25550188955326,2.288353466949188e-06
405,456.20595,1.1357,-1.7320524605900003,65.20017659598679,2.4189933394827378e-06
2413,518.32245,9.1753,-1.9169526345822234,55.15500863829703,2.484752769356144e-06
1278,427.26504,6.6435,-2.624319385846216,52.242685925495735,2.716070914084957e-06
896,187.13173,5.7468,-1.4980290738461335,47.316196702023746,2.740002084170721e-06
300,190.01172,0.8036,-1.0724602762341702,37.854384036062335,3.012171842159373e-06
2506,245.22518,9.2623,-1.419675202609553,37.98380054492343,3.120614279306468e-06
2915,496.33818,9.7632,-1.766216673085026,56.48536219051161,3.1690722714694106e-06
198,534.69963,0.6951,-0.8468096940067094,38.62496258492566,3.212420522267117e-06
295,221.18491,0.7913,-1.0377090703800667,40.17780640732525,3.4872911303562755e-06
230,221.04108,0.7379,-1.6493931221448452,89.89263724453814,3.533579401816067e-06
2169,357.29837,8.8912,-1.6972717537555937,38.40788804942254,3.5488365597891357e-06
231,219.02552,0.7397,-1.4336331573470744,177.0628019374514,3.7851512965190293e-06
2524,520.33756,9.2982,-2.0174033618126437,38.58212707956342,3.835547433003308e-06
2110,478.29104,8.8093,-2.1576102112650073,36.55164954038226,3.928810997909321e-06
485,328.13777,1.6688,-1.3731446889102088,139.56799686611615,4.084019835119075e-06
2865,500.39291,9.6819,-1.7523807640331057,36.99183113744502,4.370315688055224e-06
38,215.98885,0.6172,-0.4939628902793807,54.24405376351309,4.372116663676384e-06
8,413.21146,0.6068,-0.8979063530373477,57.38369719414575,4.448289032674751e-06
1617,318.29896,7.6169,-1.0631091018844163,36.97958304934879,4.537860505441296e-06
61,414.95301,0.6197,-0.5918334491804575,34.326261201268586,4.7739726468011894e-06
309,176.00979,0.8418,-0.4254941765529541,36.706666530860794,4.892756004661654e-06
769,248.05176,5.0545,0.5780062549247535,-35.34064664617223,5.1336436642237466e-06
862,415.16243,5.6297,-1.1580959269916775,33.50547810644927,5.347253505056304e-06
465,120.07984,1.5093,-1.0501932161538505,77.23280040795164,5.777190830204578e-06
850,211.16821,5.5669,-0.6907134800551207,33.343287831703684,5.899865535938278e-06
2791,295.24264,9.6228,-3.4760073984603137,32.995357216309365,5.960247663594607e-06
49,382.92697,0.6185,-0.6081484565922572,71.11875165068417,6.04560070681697e-06
2414,540.30517,9.1759,-1.8785737249586827,36.27944938262252,6.175132886977884e-06
3055,1043.70087,9.9787,-6.804158855111955,31.06430226816687,6.435979556267941e-06
