"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Sphingoid base analogs","57","37","9","9.9082","0.7803","0.87285","0.038163","86","0.86","1","1","0.75254","P83","EC00052;EC00053;EC000591;EC00063;EC000698;EC000764;EC0001737;EC0002391"
"Vitamin D3","57","26","4","4.2138","0.80384","0.93164","0.043875","62","0.62","1","1","0.78975","P84","EC000344;EC00036;EC00057"
"Oxo Fatty Acids","43","29","5","5.5805","0.81889","0.92537","0.04812","74","0.74","1","1","0.81804","P85","EC0001515;EC000294;EC000427;EC000388"
"Cer-1-P","2293","387","28","6.8333","0.82244","0.91815","0.049198","54","0.54","1","1","0.81804","P86","EC0001078;EC0001082;EC0001085;EC0001088;EC0001099"
"Phenylpropanoic acids","28","18","1","1.7083","0.83386","1","0.052896","39","0.39","1","1","0.81804","P87","EC0001824"
"Amino Fatty Acids","23","12","1","1.8222","0.85266","1","0.059851","50","0.5","1","1","0.837914","P88","EC000611"
"MGDG","1732","101","6","3.4166","0.86762","0.97234","0.066331","57","0.57","1","1","0.862303","P89","EC0001208;EC0001874"
"PI-Cer","2290","122","3","2.05","0.88413","1","0.074717","51","0.51","1","1","0.896604","P90","EC0002253"
"Unsaturated Fatty Acids","265","160","36","16.172","0.89295","0.937","0.079854","90","0.9","1","1","0.896604","P91","EC000108;EC000223;EC000225;EC000360;EC00083;EC000556;EC0008;EC000536;EC0001409;EC0001424;EC0002449;EC0002468"
"O-PG","964","60","2","2.1639","0.89726","1","0.082561","75","0.75","1","1","0.896604","P92","EC0001618"
"Sphinganines","6","5","1","2.5055","0.92839","1","0.10735","83","0.83","1","1","0.96615","P93","EC00063"
"O-DAG","1273","175","8","4.2138","0.93256","0.98811","0.11161","77","0.77","1","1","0.96615","P94","EC0001229;EC0001230"
"Primary amides","15","10","1","2.9611","0.95578","1","0.1423","98","0.98","1","1","0.9961","P95","EC0001954"
"DAG","1839","218","4","6.7194","0.96988","0.99287","0.17078","93","0.93","1","1","1","P96","EC00036;EC0001208;EC000264"
"PA","1951","277","14","9.7943","0.97305","0.99087","0.17907","88","0.88","1","1","1","P97","EC0001988;EC0001996;EC0002022;EC0001546;EC0001651"
"HexCer","8691","1169","39","5.3527","0.97542","0.99645","0.18588","72","0.72","1","1","1","P98","EC0001088;EC0001381"
"DHCer","697","125","13","5.6944","0.98198","0.99754","0.20887","88","0.88","1","1","1","P99","EC000961;EC000979"
"C30 isoprenoids","63","28","1","4.7833","0.99362","1","0.28314","97","0.97","1","1","1","P100","EC0001662"
"O-PA","965","131","3","5.1249","0.99557","1","0.30795","96","0.96","1","1","1","P101","EC0001788"
