CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3635	3978	9	0.9531	-14.016
3762	3978	9	0.9686	23.918
3771	3978	9	0.9759	24.000
3782	3978	9	0.9664	24.058
3970	3978	9	0.9926	0.057
3978	3983	9	0.992	0.078
3978	4220	9	0.9631	-14.015
3978	4427	9	0.9772	-28.031
3635	4220	9	0.9367	-28.032
3762	4220	9	0.9498	9.903
3771	4220	9	0.9507	9.984
3782	4220	9	0.9453	10.043
3970	4220	9	0.943	-13.958
3983	4220	9	0.9347	-14.093
4220	4427	9	0.9489	-14.016
3762	3782	9	0.9919	-0.140
3771	3782	9	0.9718	-0.058
3782	3970	9	0.9879	24.001
3782	3983	9	0.9657	24.136
3782	4427	9	0.9465	-3.973
3762	3771	9	0.9785	-0.082
3762	3970	9	0.9652	23.861
3762	3983	9	0.989	23.996
3762	4427	9	0.9502	-4.113
3635	3771	9	0.9356	-38.016
3771	3970	9	0.9543	23.943
3771	3983	9	0.9522	24.078
3771	4427	9	0.9661	-4.031
3635	4427	9	0.9383	-42.047
3970	3983	9	0.9938	0.135
3970	4427	9	0.9447	-27.974
3983	4427	9	0.9378	-28.109
2389	2428	10	0.8746	-1.031
2389	3219	10	0.8431	70.027
3219	3832	10	0.8325	-18.011
3561	3832	10	0.8628	-2.016
2388	2428	10	0.9097	-0.005
2428	3308	10	0.8692	-20.042
2388	2601	10	0.8615	37.048
2601	3308	10	0.8824	-57.095
2388	3308	10	0.9555	-20.047
1953	1978	11	0.9091	-15.976
1953	1990	11	0.8074	-31.948
1953	2122	11	0.7981	-15.977
1978	1990	11	0.7036	-15.972
1978	2003	11	0.8415	184.093
1978	2122	11	0.8908	-0.000
1430	1559	12	0.8453	-14.016
782	954	13	0.7735	-30.011
954	957	13	0.9904	0.057
3557	3920	14	0.919	-2.015
3744	3920	14	0.8928	-26.015
3557	3744	14	0.9874	24.000
3066	4094	15	0.8619	-14.016
3146	4094	15	0.9322	60.020
3217	4094	15	0.9192	-15.000
3245	4094	15	0.847	60.021
3713	4094	15	0.83	-50.037
3807	4094	15	0.834	60.021
4094	4097	15	0.8914	14.015
3173	3927	15	0.9429	-42.046
3434	3927	15	0.95	-28.031
3803	3927	15	0.8581	-31.042
3927	4155	15	0.8746	-14.016
2352	2500	15	0.8553	20.027
2500	4423	15	0.8408	52.016
2598	3112	15	0.8589	-2.016
3112	3245	15	0.8966	-2.016
3112	3807	15	0.8458	-2.016
2181	2639	15	0.8825	13.979
2815	2882	15	0.8658	54.035
2829	2882	15	0.9102	36.022
2882	2998	15	0.8333	-0.000
2882	3522	15	0.9179	0.000
2882	3528	15	0.8605	-18.011
1845	2353	15	0.8569	-6.048
2353	2468	15	0.9376	20.025
2353	2887	15	0.9988	-11.999
1963	2797	15	0.9109	0.000
2352	2797	15	0.8374	22.042
2639	3828	15	0.8682	-0.984
2815	3828	15	0.9202	18.013
2829	3828	15	0.908	0.001
2836	3828	15	0.9708	17.938
3212	3828	15	0.8977	74.036
3388	3828	15	0.985	-0.915
3390	3828	15	0.9415	-0.984
3522	3828	15	0.8918	-36.021
3528	3828	15	0.9383	-18.011
3529	3828	15	0.9228	74.035
1845	2855	15	0.8417	29.974
2855	3404	15	0.8531	0.000
2855	3563	15	0.8456	-15.995
2855	3709	15	0.94	-2.016
2855	3803	15	0.8769	-2.016
2855	4476	15	0.8301	-106.110
2583	4097	15	0.9269	-6.047
3066	4097	15	0.958	-0.000
3146	4097	15	0.8392	74.036
3709	4097	15	0.9082	-18.011
3803	4097	15	0.9292	-18.011
4097	4156	15	0.8578	-27.090
4097	4500	15	0.8432	-55.479
4097	4503	15	0.8441	-55.019
3173	3434	15	0.939	-14.015
3174	3434	15	0.9053	-13.950
3434	3694	15	0.8989	-296.023
3434	3698	15	0.9067	-14.457
3434	3706	15	0.9026	-14.016
3434	3723	15	0.8966	-13.957
3434	3724	15	0.8999	-14.160
3434	3763	15	0.8989	-14.128
3434	4155	15	0.9182	-42.047
3173	3763	15	0.8677	-28.143
3174	3763	15	0.9828	-28.078
3684	3763	15	0.8943	0.136
3694	3763	15	0.9844	281.895
3698	3763	15	0.9813	0.329
3705	3763	15	0.967	-0.042
3706	3763	15	0.9802	-0.112
3723	3763	15	0.9744	-0.171
3724	3763	15	0.9858	0.033
1985	2887	15	0.9184	1.979
2887	2998	15	0.8467	66.031
2887	3401	15	0.8662	66.031
2468	2708	15	0.8343	-15.993
2468	2794	15	0.8301	-17.004
3173	3174	15	0.9587	-0.066
3173	3694	15	0.8692	-310.038
3173	3706	15	0.9432	-28.032
3173	4155	15	0.9587	-56.062
2598	3807	15	0.8489	-4.031
3146	3807	15	0.8722	-0.001
3245	3807	15	0.8913	-0.000
3477	3807	15	0.8399	-0.001
2815	3522	15	0.9123	54.035
2829	3522	15	0.985	36.022
2836	3522	15	0.8822	53.959
3388	3522	15	0.8805	35.106
3390	3522	15	0.8688	35.037
3401	3522	15	0.8808	0.000
3522	3528	15	0.8757	-18.011
3522	3824	15	0.8712	-0.000
2367	3021	15	0.8483	17.019
3684	3706	15	0.8946	0.248
3694	3706	15	0.9876	282.007
3698	3706	15	0.9774	0.440
3705	3706	15	0.9708	0.069
3706	3723	15	0.9835	0.059
3706	3724	15	0.9805	-0.144
3706	4155	15	0.9505	-28.031
2598	3529	15	0.8442	-2.015
2815	3529	15	0.8555	-56.022
2836	3529	15	0.9056	-56.097
2999	3529	15	0.8889	0.001
3212	3529	15	0.9514	0.001
3388	3529	15	0.9095	-74.950
3390	3529	15	0.8712	-75.019
3528	3529	15	0.8701	-92.046
3066	4500	15	0.8573	-55.479
3698	4500	15	0.895	-56.022
4156	4500	15	0.868	-28.388
4494	4500	15	0.956	-0.325
4496	4500	15	0.9387	-0.400
4500	4503	15	0.9507	0.460
2536	3713	15	0.8842	31.006
2583	3713	15	0.8431	29.974
1395	4476	15	0.8602	-112.208
1963	2352	15	0.8456	-22.042
2352	2815	15	0.8381	18.008
2352	2836	15	0.869	18.083
2352	3885	15	0.8703	8.974
2352	4422	15	0.8362	22.006
2352	4423	15	0.846	72.042
2998	3824	15	0.8837	-0.000
3401	3824	15	0.8916	-0.000
2999	3212	15	0.8322	0.000
3212	3388	15	0.8602	74.951
3212	3390	15	0.8642	75.020
2829	4422	15	0.9291	-14.015
2993	4422	15	0.8371	42.010
3885	4422	15	0.9091	13.031
4422	4423	15	0.9597	50.037
2367	3146	15	0.8582	-43.036
3066	3709	15	0.8546	18.010
3375	3709	15	0.9146	92.047
3709	3803	15	0.9519	0.000
2598	3245	15	0.8901	-4.031
3146	3245	15	0.9115	-0.000
3245	3375	15	0.8487	-0.000
3245	3477	15	0.8401	0.000
2639	2902	15	0.8559	0.001
2895	2902	15	0.8349	18.011
2902	3885	15	0.8593	-28.032
2583	3066	15	0.905	-6.047
