row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mots_18102024_Foodomics_CYF1_S52.mzML Peak area,Mots_18102024_Foodomics_CYF1_S53.mzML Peak area,Mots_18102024_Foodomics_CYF1_S54.mzML Peak area,Mots_18102024_Foodomics_CYF2_S55.mzML Peak area,Mots_18102024_Foodomics_CYF2_S56.mzML Peak area,Mots_18102024_Foodomics_CYF2_S57.mzML Peak area,
221,455.11452498855243,0.75871664,,,,14,,,,,,,907.05493,966.0547,949.0536,2571.5088,2613.334,2611.722,
223,104.1060917046453,0.76476663,,,,14,,,,,,,7464.2817,6955.1367,6794.682,8431.144,8301.51,8195.207,
226,293.06168757641166,0.7677472,,,,14,,,,,,,1190.8505,1085.1627,1174.3416,3209.6296,3192.0974,3184.1692,
232,381.0778742519258,0.7695639,,,,14,,,,,,,7096.7734,7108.5327,7168.179,15693.469,15730.762,15535.732,
222,543.130271383102,0.7756389,,,,14,,,,,,,649.9647,1162.1307,537.5721,1353.9144,1135.4435,994.16095,
237,249.03672463339444,0.7786722,,,,,,,,,,,223.70175,388.15445,387.09515,717.4955,734.8233,704.2604,
238,296.0646402438337,0.7798361,,,,0,,,,,,,517.1546,521.5854,510.88367,1405.923,1406.8876,1385.9492,
247,221.184842401496,0.79826385,,,,17,,,,,,,2579.959,2570.66,2501.5957,1598.2607,1584.4434,1598.1833,
250,502.79432756917055,0.8060889,,,,,,,,,,,91.54297,93.9879,100.75901,26.151144,47.093273,28.328047,
253,674.8076150813987,0.8199083,,,,,,,,,,,103.80536,120.869064,114.49629,73.51866,80.8358,83.68072,
257,250.91404639228062,0.82290834,,,,11,,,,,,,345.96445,337.84775,361.79645,345.73953,329.79282,234.89645,
258,334.87206059185377,0.82290554,,,,11,,,,,,,611.27386,618.9414,609.2482,411.05124,421.0031,415.73294,
259,462.8592819584337,0.8235,,,,11,,,,,,,185.22197,192.85371,194.23376,129.66049,131.80017,125.84258,
255,509.0650439144072,0.82441664,,,,,,,,,,,73.445656,70.1265,67.58984,233.24545,251.47777,243.38293,
264,378.89815835416294,0.8280639,,,,17,,,,,,,358.0852,315.1672,321.9088,276.78113,266.81006,286.63248,
268,294.93695815643656,0.83502775,,,,17,,,,,,,286.05695,254.77141,279.5455,234.03613,236.10205,252.09302,
271,138.05914140100634,0.8460083,,,,17,,,,,,,2786.1309,2803.6187,2792.141,2502.265,2460.598,2474.2947,
273,136.06116728113955,0.8629973,,,,,,,,,,,561.9291,591.9768,573.05896,642.3988,521.75165,503.32117,
277,241.15344745767575,0.88645834,,,,,,,,,,,932.5215,914.4798,929.6447,1216.5095,1222.553,1232.3019,
282,170.08012890252834,0.8961055,,,,,,,,,,,277.44955,329.56067,292.19348,329.58163,287.63483,334.66492,
283,543.1303233219247,0.8996778,,,,,,,,,,,1182.3795,612.4089,1195.4703,2742.0054,2725.0396,2708.6963,
286,152.0556028105663,0.9044972,,,,,,,,,,,507.88257,501.066,527.3805,322.56247,505.27676,483.8336,
288,388.88238661818474,0.9051056,,,,,,,,,,,138.70807,130.84312,145.40485,63.057964,55.319984,68.895966,
290,280.1378120473608,0.90993613,,,,16,,,,,,,745.63116,818.6501,814.2553,1398.7004,1413.463,1367.1378,
296,266.122104078,0.9178111,,,,16,,,,,,,861.9787,850.69257,837.68195,1027.8557,1053.9109,1091.5427,
306,183.08492365975766,0.9475778,,,,15,,,,,,,529.1685,596.3431,568.03864,1731.0819,1774.4362,1800.1437,
308,121.06385458513223,0.9512722,,,,15,,,,,,,1205.1577,1238.5173,1190.6716,834.61206,808.3955,797.91296,
