"","id","mz","rt","log2FC","t.score","p.value"
"1",3589,630.54162,9.3353,5.31718030638162,-191.276927774301,8.1379806236302e-09
"2",2716,488.25604,8.3609,-10.1158876151905,130.34753656007,6.66977840634207e-08
"3",2988,1046.53889,8.7223,6.6169523436083,-57.3918371314079,6.65399042327141e-07
"4",1138,230.0776,4.992,-3.96348471175259,54.1465868284182,7.6549071727939e-07
"5",3073,657.45619,8.8078,-4.37099741069412,85.6088045014811,1.21313197103212e-06
"6",193,145.16894,0.7223,-7.06412623405074,91.4170824549885,3.0421696780848e-06
"7",2784,699.2272,8.4696,4.51349945891488,-47.638778753258,4.62548963566501e-06
"8",778,201.14654,4.1744,4.46662775901262,-37.3289961168656,4.86197376108287e-06
"9",3865,392.31168,9.6271,-5.87789669580643,41.0880740730216,4.97832883117275e-06
"10",1142,190.06972,4.9589,-6.24991044159082,37.7146884064307,5.94136712011731e-06
"11",3261,390.29659,9.0046,-4.76802222637874,41.9810163859792,6.06084363981845e-06
"12",2292,398.38469,7.5608,-2.6278925459961,30.8714660864407,6.56395497650211e-06
"13",530,453.20505,2.1028,7.84175560586868,-37.915719904088,6.84204740917194e-06
"14",2508,423.27103,7.8798,-3.8104434135304,47.1638329281489,7.75073550809673e-06
"15",427,559.16515,1.4098,6.08566119924158,-31.0626843901427,8.2675930577813e-06
"16",1537,196.09579,5.9245,-1.99364122813634,34.9936246030164,8.43260373549973e-06
"17",485,195.10966,1.7172,-9.88711117799295,105.859800868364,8.58050769217742e-06
"18",3757,548.2981,9.5124,4.10414770702722,-62.5810549369202,9.45728851473341e-06
"19",2939,440.28729,8.6611,-3.40883656030252,31.3947532005699,1.05320621529574e-05
"20",1628,788.35284,6.1496,-6.47977446437512,31.4574457549819,1.06737523715932e-05
"21",3861,370.33018,9.6238,-4.84114958402743,42.9179497607686,1.20417786205968e-05
"22",2914,499.32506,8.6476,3.60632286182754,-32.2380941289922,1.2329870937929e-05
"23",425,406.14654,1.4101,7.53310734826297,-32.4700047231476,1.85182006981562e-05
"24",3411,385.29105,9.0484,-0.724307214417561,27.4691664570435,1.89361182643691e-05
"25",4028,341.30372,9.8582,-1.27729928240603,24.1430381687235,1.94455253512906e-05
"26",3222,578.49203,8.9638,-0.43149100630178,23.9826472681536,2.22084833666768e-05
"27",566,346.1957,2.2757,5.04432451813574,-26.3022698253335,2.33494979140044e-05
"28",395,348.17488,1.2727,5.19565092382906,-30.0812686526492,2.39266655043875e-05
"29",244,361.91882,0.7922,-2.92618825940073,22.3613103653874,2.53732530215185e-05
"30",2195,573.32242,7.3331,7.994006779554,-24.7524557878723,2.57661476967428e-05
"31",273,136.06117,0.863,-0.635749713267298,22.1935093072132,3.09771172932691e-05
"32",2517,518.20424,7.9456,-6.93129234840993,22.8576338926957,3.16391123538267e-05
"33",648,612.80031,3.6644,6.69991795330808,-30.2162949418852,3.39927857861331e-05
"34",620,175.00136,3.033,-8.05788718953528,91.8278517316825,3.85102223263611e-05
