mappingFeatureId,inchikey,inchi,smiles,clean_smiles,annotation_source,mz,rt,compound_name
907,YEDSOSIKVUMIJE,"InChI=1S/C14H27N3O5/c1-7(2)5-10(14(21)22)16-13(20)11(8(3)4)17-12(19)9(15)6-18/h7-11,18H,5-6,15H2,1-4H3,(H,16,20)(H,17,19)(H,21,22)",CC(C)CC(N=C(O)C(N=C(O)C(N)CO)C(C)C)C(=O)O,CC(C)CC(NC(=O)C(NC(=O)C(N)CO)C(C)C)C(=O)O,sirius,318.200968754445,4.418522,2-[[2-[(2-Amino-3-hydroxypropanoyl)amino]-3-methylbutanoyl]amino]-4-methylpentanoic acid
926,BKVICMPZWRNWOC,"InChI=1S/C15H29N3O5/c1-7(2)6-10(15(22)23)17-14(21)12(8(3)4)18-13(20)11(16)9(5)19/h7-12,19H,6,16H2,1-5H3,(H,17,21)(H,18,20)(H,22,23)",CC(C)CC(N=C(O)C(N=C(O)C(N)C(C)O)C(C)C)C(=O)O,CC(C)CC(NC(=O)C(NC(=O)C(N)C(C)O)C(C)C)C(=O)O,sirius,332.21651523057955,4.4927526,
940,RFCVXVPWSPOMFJ,"InChI=1S/C15H22N2O3/c1-10(2)8-13(15(19)20)17-14(18)12(16)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)",CC(C)CC(N=C(O)C(N)Cc1ccccc1)C(=O)O,CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,sirius,279.16871660007064,4.5304446,Phe-Leu
1068,RFCVXVPWSPOMFJ,"InChI=1S/C15H22N2O3/c1-10(2)8-13(15(19)20)17-14(18)12(16)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)",CC(C)CC(N=C(O)C(N)Cc1ccccc1)C(=O)O,CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,sirius,279.16717360072374,4.827786,Phe-Leu
954,MPYHGNAJOKCMAQ,"InChI=1S/C20H25NO4/c1-21-8-7-14-11-19(24-3)20(25-4)12-15(14)16(21)9-13-5-6-18(23-2)17(22)10-13/h5-6,10-12,16,22H,7-9H2,1-4H3",COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C)cc1O,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C)cc1O,sirius:suspect,344.1842040852858,4.577219,Tritopin
956,BVRPESWOSNFUCJ,"InChI=1S/C17H23N3O3/c1-3-10(2)15(18)16(21)20-14(17(22)23)8-11-9-19-13-7-5-4-6-12(11)13/h4-7,9-10,14-15,19H,3,8,18H2,1-2H3,(H,20,21)(H,22,23)",CCC(C)C(N)C(O)=NC(Cc1c[nH]c2ccccc12)C(=O)O,CCC(C)C(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,sirius,318.17988026894943,4.5844913,
1029,BVRPESWOSNFUCJ,"InChI=1S/C17H23N3O3/c1-3-10(2)15(18)16(21)20-14(17(22)23)8-11-9-19-13-7-5-4-6-12(11)13/h4-7,9-10,14-15,19H,3,8,18H2,1-2H3,(H,20,21)(H,22,23)",CCC(C)C(N)C(O)=NC(Cc1c[nH]c2ccccc12)C(=O)O,CCC(C)C(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,sirius:suspect,318.1798202503206,4.763111,
964,HWMQRQIFVGEAPH,"InChI=1S/C20H28N4O5/c1-11(2)7-14(21)18(26)24-17(10-25)19(27)23-16(20(28)29)8-12-9-22-15-6-4-3-5-13(12)15/h3-6,9,11,14,16-17,22,25H,7-8,10,21H2,1-2H3,(H,23,27)(H,24,26)(H,28,29)",CC(C)CC(N)C(O)=NC(CO)C(O)=NC(Cc1c[nH]c2ccccc12)C(=O)O,CC(C)CC(N)C(=O)NC(CO)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,sirius,405.2117017399826,4.6146913,2-[[2-[(2-amino-4-methylpentanoyl)amino]-3-hydroxypropanoyl]amino]-3-(1H-indol-3-yl)propanoic acid
966,BHLYRWXGMIUIHG,"InChI=1S/C19H23NO4/c1-20-7-6-13-10-19(24-3)17(22)11-14(13)15(20)8-12-4-5-18(23-2)16(21)9-12/h4-5,9-11,15,21-22H,6-8H2,1-3H3/t15-/m1/s1",COc1ccc(C[C@@H]2c3cc(O)c(OC)cc3CCN2C)cc1O,COc1ccc(C[C@@H]2c3cc(O)c(OC)cc3CCN2C)cc1O,gnps,330.1645641107954,4.6251607,Reticuline
1027,UWLHDGMRWXHFFY,"InChI=1S/C17H31N3O4/c1-5-10(3)13(18)15(21)19-14(11(4)6-2)16(22)20-9-7-8-12(20)17(23)24/h10-14H,5-9,18H2,1-4H3,(H,19,21)(H,23,24)",CCC(C)C(N)C(O)=NC(C(=O)N1CCCC1C(=O)O)C(C)CC,CCC(C)C(N)C(=O)NC(C(=O)N1CCCC1C(=O)O)C(C)CC,sirius,342.2372324154176,4.6848607,1-[2-[(2-Amino-3-methylpentanoyl)amino]-3-methylpentanoyl]pyrrolidine-2-carboxylic acid
