mappingFeatureId,inchikey,inchi,smiles,clean_smiles,annotation_source,mz,rt,compound_name
1667,XCNNHGIVBBMIGV,"InChI=1S/C18H28O4/c1-16(2)10-6-5-8-12-17(20)11-7-3-4-9-13-22-15-18(21)14-19/h9,13,16-21H,5-6,8,10,12,14-15H2,1-2H3",CC(C)CCCCCC(O)C#CC#CC=COCC(O)CO,CC(C)CCCCCC(O)C#CC#CC=COCC(O)CO,suspect,291.1941342320708,7.7810836,"3-[(7-hydroxy-13-methyltetradec-1-en-3,5-diyn-1-yl)oxy]propane-1,2-diol"
1687,OTKJDMGTUTTYMP,"InChI=1S/C18H39NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17-18,20-21H,2-16,19H2,1H3",CCCCCCCCCCCCCCCC(O)C(N)CO,CCCCCCCCCCCCCCCC(O)C(N)CO,sirius,302.30400749675243,7.8277144,Safingol
1690,MJWIPTSHMLSLFE,"InChI=1S/C20H43NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21(17-19-22)18-20-23/h22-23H,2-20H2,1H3",CCCCCCCCCCCCCCCCN(CCO)CCO,CCCCCCCCCCCCCCCCN(CCO)CCO,sirius,330.3352697516996,7.830122,Bis(2-hydroxyethyl)hexadecylammonium
1721,WRPFPNIHTOSMKU,"InChI=1S/C23H30N2O/c1-19(2)23(26)25(21-11-7-4-8-12-21)22-14-17-24(18-15-22)16-13-20-9-5-3-6-10-20/h3-12,19,22H,13-18H2,1-2H3",CC(C)C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CC(C)C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,sirius,351.24375774339927,7.904678,2-methyl-N-phenyl-N-[1-(2-phenylethyl)piperidin-1-ium-4-yl]propanamide
1762,JVEXQSVXUSNXKX,"InChI=1S/C27H50/c1-7-8-17-26(5)18-10-13-22-24(26)16-19-27(6)23(14-15-25(22)27)21(4)12-9-11-20(2)3/h20-25H,7-19H2,1-6H3",CCCCC1(C)CCCC2C1CCC1(C)C(C(C)CCCC(C)C)CCC21,CCCCC1(C)CCCC2C1CCC1(C)C(C(C)CCCC(C)C)CCC21,suspect,397.3812878057437,8.028835,"4,5-Secocholestane"
1787,KZVWEYWJHWNANE,"InChI=1S/C18H30O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8H,2,5,7,9-16H2,1H3,(H,20,21)",CCC=CCC=CCCC(=O)CCCCCCCC(=O)O,CCC=CCC=CCCC(=O)CCCCCCCC(=O)O,suspect,277.2149225118973,8.148336,"9-Oxooctadeca-12,15-dienoic acid"
1818,LTUMRKDLVGQMJU,"InChI=1S/C18H30O/c1-15(2)9-6-10-16(3)11-7-12-17(4)13-8-14-18(5)19/h9,11,13H,6-8,10,12,14H2,1-5H3",CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)C,CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)C,suspect,280.261832092176,8.234664,Farnesylacetone
2370,LTUMRKDLVGQMJU,"InChI=1S/C18H30O/c1-15(2)9-6-10-16(3)11-7-12-17(4)13-8-14-18(5)19/h9,11,13H,6-8,10,12,14H2,1-5H3",CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)C,CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)C,suspect,280.262311868574,9.133426,Farnesylacetone
1824,VLPSMPMCCYWOHM,"InChI=1S/C28H32O14/c1-36-16-9-14(10-17(37-2)23(16)31)5-7-21(29)40-13-20-25(33)26(34)27(35)28(41-20)42-22(30)8-6-15-11-18(38-3)24(32)19(12-15)39-4/h5-12,20,25-28,31-35H,13H2,1-4H3",COc1cc(C=CC(=O)OCC2OC(OC(=O)C=Cc3cc(OC)c(O)c(OC)c3)C(O)C(O)C2O)cc(OC)c1O,COc1cc(C=CC(=O)OCC2OC(OC(=O)C=Cc3cc(OC)c(O)c(OC)c3)C(O)C(O)C2O)cc(OC)c1O,sirius,631.1400514386264,8.262828,"(3,4,5-trihydroxy-6-{[3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxy}oxan-2-yl)methyl 3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoate"
1904,WWUZIQQURGPMPG,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h14-15,17-18,20-21H,2-13,16,19H2,1H3",CCCCCCCCCCCCCC=CC(O)C(N)CO,CCCCCCCCCCCCCC=CC(O)C(N)CO,sirius,300.2882975832593,8.454959,Sphingoid
1924,OWWCANRSILCUCQ,"InChI=1S/C18H30O3/c1-2-3-4-11-14-17(19)15-12-9-7-5-6-8-10-13-16-18(20)21/h2-8,10-11,13-16H2,1H3,(H,20,21)",CCCCCCC(=O)CC#CCCCCCCCC(=O)O,CCCCCCC(=O)CC#CCCCCCCCC(=O)O,suspect,295.2254365265701,8.487236,"9-Octadecynoic acid, 12-oxo-"
1932,AMPZNWGEMPXFMM,"InChI=1S/C18H34O3/c1-2-3-4-5-8-11-14-17(19)15-12-9-6-7-10-13-16-18(20)21/h13,16-17,19H,2-12,14-15H2,1H3,(H,20,21)",CCCCCCCCC(O)CCCCCCC=CC(=O)O,CCCCCCCCC(O)CCCCCCC=CC(=O)O,suspect,299.2584617054071,8.519559,10-Hydroxyoctadec-2-enoic acid
2786,AMPZNWGEMPXFMM,"InChI=1S/C18H34O3/c1-2-3-4-5-8-11-14-17(19)15-12-9-6-7-10-13-16-18(20)21/h13,16-17,19H,2-12,14-15H2,1H3,(H,20,21)",CCCCCCCCC(O)CCCCCCC=CC(=O)O,CCCCCCCCC(O)CCCCCCC=CC(=O)O,suspect,281.24628819354194,9.580441,10-Hydroxyoctadec-2-enoic acid
1936,BLGILOAHRARWOX,"InChI=1S/C37H62O8/c1-4-5-16-23-32(38)24-18-13-10-11-14-19-25-34(40)35(41)26-21-28-37(43)45-30-33(39)29-44-36(42)27-20-15-9-7-6-8-12-17-22-31(2)3/h5,10-11,13-14,16,18-19,24-25,31-35,38-41H,4,6-9,12,15,17,20-23,26-30H2,1-3H3",CCC=CCC(O)C=CC=CC=CC=CC(O)C(O)CCCC(=O)OCC(O)COC(=O)CCCCCCCCCCC(C)C,CCC=CCC(O)C=CC=CC=CC=CC(O)C(O)CCCC(=O)OCC(O)COC(=O)CCCCCCCCCCC(C)C,sirius,635.4540546697577,8.523807,
1949,LHWJKUKEUOFSME,"InChI=1S/C16H30/c1-13(2)16-10-8-15(9-11-16)12-14-6-4-3-5-7-14/h13-16H,3-12H2,1-2H3",CC(C)C1CCC(CC2CCCCC2)CC1,CC(C)C1CCC(CC2CCCCC2)CC1,suspect,245.2251999977757,8.534669,4-Isopropyldicyclohexylmethane
1996,UHISGSDYAIIBMO,"InChI=1S/C33H58O14/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-25(36)43-19-22(35)20-44-32-31(42)29(40)27(38)24(47-32)21-45-33-30(41)28(39)26(37)23(18-34)46-33/h6-7,9-10,22-24,26-35,37-42H,2-5,8,11-21H2,1H3",CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,sirius,696.4139978711994,8.669107,Gingerglycolipid B
