"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"6-aminopurines","3","1","1","0.65653","0.52051","1","0.0054509","23","0.23","1","1","0.2834468","P85","EC000149"
"Disaccharides","16","11","10","0.65653","0.52051","1","0.0054509","41","0.41","1","1","0.2834468","P86","EC00092"
"Ureas","11","2","1","0.65653","0.52051","1","0.0054509","28","0.28","1","1","0.2834468","P87","EC000278"
"Imidazolyl carboxylic acids","6","3","2","0.65653","0.52051","1","0.0054509","43","0.43","1","1","0.2834468","P88","EC00029"
"Tryptamines","12","2","1","0.65653","0.52051","1","0.0054509","65","0.65","1","1","0.2834468","P89","EC000299"
"Arylsulfates","9","2","1","0.65653","0.52051","1","0.0054509","37","0.37","1","1","0.2834468","P90","EC000112"
"Medium-chain keto acids","8","2","1","0.65653","0.52051","1","0.0054509","24","0.24","1","1","0.2834468","P91","EC000577"
"Nitrophenols","3","1","1","0.65653","0.52051","1","0.0054509","28","0.28","1","1","0.2834468","P92","EC00057"
"Guanidines","9","1","1","0.65653","0.52051","1","0.0054509","50","0.5","1","1","0.2834468","P93","EC000695"
"Furanones","4","1","1","0.65653","0.52051","1","0.0054509","42","0.42","1","1","0.2834468","P94","EC000915"
"Quinolines","8","2","1","0.65653","0.52051","1","0.0054509","51","0.51","1","1","0.2834468","P95","EC00044"
"1-hydroxy-2-unsubstituted benzenoids","5","2","1","0.65653","0.52051","1","0.0054509","43","0.43","1","1","0.2834468","P96","EC000100"
"Gallic acids","4","2","1","0.65653","0.52051","1","0.0054509","28","0.28","1","1","0.2834468","P97","EC000458"
"1,2-diols","10","2","1","0.65653","0.52051","1","0.0054509","30","0.3","1","1","0.2834468","P98","EC000780"
"N-arylamides","5","2","1","0.65653","0.52051","1","0.0054509","25","0.25","1","1","0.2834468","P99","EC000153"
"Cumenes","5","1","1","0.65653","0.52051","1","0.0054509","31","0.31","1","1","0.2834468","P100","EC000146"
"Amino acid amides","9","2","1","0.65653","0.52051","1","0.0054509","56","0.56","1","1","0.2834468","P101","EC000613"
"Penicillins","7","1","1","0.65653","0.52051","1","0.0054509","22","0.22","1","1","0.2834468","P102","EC000295"
"Hydroquinolones","5","2","1","0.65653","0.52051","1","0.0054509","28","0.28","1","1","0.2834468","P103","EC00060"
"Isosorbides","4","2","1","0.65653","0.52051","1","0.0054509","51","0.51","1","1","0.2834468","P104","EC000779"
"Isoindolones","3","1","1","0.65653","0.52051","1","0.0054509","23","0.23","1","1","0.2834468","P105","EC00069"
"Cephalosporins","6","1","1","0.65653","0.52051","1","0.0054509","22","0.22","1","1","0.2834468","P106","EC000295"
"Organic disulfides","3","1","1","0.65653","0.52051","1","0.0054509","54","0.54","1","1","0.2834468","P107","EC0001"
"1,3,5-triazine-2,4-diamines","3","2","1","0.65653","0.52051","1","0.0054509","56","0.56","1","1","0.2834468","P108","EC000181"
"Pyrrolizines","5","1","1","0.65653","0.52051","1","0.0054509","35","0.35","1","1","0.2834468","P109","EC000918"
"Gamma butyrolactones","14","5","2","1.9696","0.59622","0.88941","0.0080813","36","0.36","1","1","0.2834468","P110","EC000600;EC000154"
"Barbituric acid derivatives","6","4","2","1.9696","0.59622","0.88941","0.0080813","61","0.61","1","1","0.2834468","P111","EC000482;EC000302"
"Aralkylamines","15","3","1","0.9848","0.66818","1","0.011964","71","0.71","1","1","0.2991","P112","EC000299"
"Xanthines","21","3","2","0.9848","0.66818","1","0.011964","34","0.34","1","1","0.2991","P113","EC000186"
"Pyrimidine ribonucleosides","6","3","1","0.9848","0.66818","1","0.011964","45","0.45","1","1","0.2991","P114","EC000177"
"Phenol ethers","22","2","1","0.9848","0.66818","1","0.011964","34","0.34","1","1","0.2991","P115","EC000616"
"Alkyl-phenylketones","5","3","1","0.9848","0.66818","1","0.011964","39","0.39","1","1","0.2991","P116","EC000151"
"Naphthoquinones","13","2","1","0.9848","0.66818","1","0.011964","30","0.3","1","1","0.2991","P117","EC00047"
"Glycosyl compounds","7","3","1","0.9848","0.66818","1","0.011964","59","0.59","1","1","0.2991","P118","EC00092"
"Benzyloxycarbonyls","6","3","1","0.9848","0.66818","1","0.011964","44","0.44","1","1","0.2991","P119","EC0001043"
"Oxanes","3","2","1","0.9848","0.66818","1","0.011964","61","0.61","1","1","0.2991","P120","EC000459"
"Pyrimidines","24","6","2","2.6261","0.76009","0.9471","0.020509","60","0.6","1","1","0.328144","P121","EC00029;EC000104"
"Butyrophenones","7","3","1","1.3131","0.77048","1","0.021879","55","0.55","1","1","0.328185","P122","EC000620"
"Tetrahydroisoquinolines","13","3","1","1.3131","0.77048","1","0.021879","60","0.6","1","1","0.328185","P123","EC000520"
"Amino acid esters","8","4","1","1.3131","0.77048","1","0.021879","62","0.62","1","1","0.328185","P124","EC000489"
"Tetralins","7","3","1","1.3131","0.77048","1","0.021879","59","0.59","1","1","0.328185","P125","EC000851"
"Harmala alkaloids","10","3","1","1.3131","0.77048","1","0.021879","64","0.64","1","1","0.328185","P126","EC000282"
"p-Hydroxybenzoic acid alkyl esters","6","2","1","1.3131","0.77048","1","0.021879","46","0.46","1","1","0.328185","P127","EC000151"
"Benzenesulfonyl compounds","41","9","2","2.9544","0.81801","0.96343","0.029815","61","0.61","1","1","0.328185","P128","EC000172;EC000304"
"Benzoic acids","48","11","4","5.5805","0.81808","0.93188","0.029828","69","0.69","1","1","0.328185","P129","EC0001028;EC000114;EC000455;EC00086"
"Benzenes","26","4","1","1.6413","0.8413","1","0.035057","84","0.84","1","1","0.328185","P130","EC000615"
"1-benzopyrans","44","8","2","3.2827","0.8631","0.97474","0.041137","75","0.75","1","1","0.328185","P131","EC000826;EC0001020"
"Hippuric acids","1617","35","12","11.161","0.86916","0.93556","0.043083","85","0.85","1","1","0.328185","P132","EC000119;EC000105;EC00069;EC000461;EC00052;EC000434;EC000183;EC000151"
"P-benzoquinones","4","2","1","1.9696","0.89032","1","0.050991","94","0.94","1","1","0.328185","P133","EC000166"
"Diphenylmethanes","39","7","1","3.2827","0.97508","1","0.12988","87","0.87","1","1","0.38964","P134","EC000203"
"Benzoic acid esters","41","19","3","7.2219","0.98344","0.99682","0.1531","96","0.96","1","1","0.38964","P135","EC000845;EC000455;EC000854"
"Tripeptides","8000","2212","586","107.02","0.99992","0.99995","0.41699","100","1","1","1","0.41699","P136","EC000210;EC000220;EC000238;EC000240;EC000241;EC000242;EC000243;EC000244;EC000245;EC000251;EC000252;EC000263;EC000264;EC000265;EC000266;EC000267;EC000307;EC000308;EC000310;EC000311;EC000313;EC000327;EC000338;EC000344;EC000347;EC000352;EC000358;EC000360;EC000362;EC000363;EC000374;EC000380;EC000384;EC000394;EC000404;EC000413;EC000415;EC000416;EC000422;EC000423;EC000424;EC000427;EC000428;EC000295;EC000431;EC000433;EC000434;EC000436;EC000529;EC000531;EC000535;EC000541;EC000648;EC000658;EC000662;EC000665;EC000667;EC000440;EC000680;EC000688;EC000704;EC000713;EC000714;EC000719;EC000731;EC000735;EC000736;EC000759;EC000804;EC000816;EC000818;EC000821;EC000834;EC000968;EC0001036"
